 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number,paper_type,cross_type,long_type
"Introduction: Around 30% of patients with severe COVID-19 infection are need admission to an ICU for specialized care. Ninety percent of these patients present with severe acute respiratory distress syndrome corona. Inadequate knowledge and incorrect attitudes among the postgraduates working in ICU can directly influence practices and lead to poor infection control practice, poor management, and spread of disease. This study aimed to assess the knowledge, perception, and attitude of postgraduate students posted toward the COVID-19. Materials and methods: After ethical committee approval (CTRI REF/2020/11/038549), a descriptive cross-sectional study was done among postgraduate students of different teaching hospitals in South India. Data were collected through the first week off from September 1 to September 8, 2020, during the peak of the pandemic. A convenience sampling technique was used to select participants. The sample size was calculated using EpiCalc-2000 based on the following assumption: the proportion of good knowledge 50%, level of confidence 95% and precision 5%, and apparent prevalence 0.05, to be 74. Then, the sample size increased by 10% to overcome non-response. Confidentiality precautions were ensured during the data collection process. A self-administered questionnaire was used, it was developed by the authors after reviewing previously conducted research, visiting the Ministry of Health and Family Welfare and WHO websites for frequently asked questions. The questionnaire for best practices was selected after studying various review articles, meta-analyzes, and the WHO website. The questionnaire was checked and validated for content and relevance by authors, and one public health and one anesthesia professor. The questionnaire covered the following: (I) Demographic characters: age, sex, years of critical care experience, type of organization in which responders are working, hours of work/day, and whether they were quarantined after the work. (II) The knowledge section: consisted of 20 knowledge questions covering the main general information, mode of transmission, treatment modalities, and ways of disease prevention. Each question was answered by either yes, no, or don&#039;t know. (III) The attitude section;included 10 questions assessing the responder&#039;s attitudes of COVID-19 as a preventable and controllable disease (six items), their attitudes toward regulations taken by the Hospital/Government to overcome the COVID-19 pandemic situation (four items). Response to each item was recorded on the 5-point Likert scale as follows: strongly agree (5-points), agree (4-points), undecided (3-points), disagree (2-points), and strongly disagree. (IV) Risk perception: included assessment of postgraduates&#039; feelings and perception of fear from catching COVID-19. The response could be either yes or no. As the responders were from various hospitals in south India, we used the online data collection method via Google Forms. Results: Best practices 20 questions 95.3% of responders commented that there are separate donning and doffing rooms. 40% of hospitals had 2:1 and another 40% 3:1 of patient to staff ratio. It is 43.4% of responders were unaware of how many times per day the floors and surfaces are cleaned. Only 47% of responders committed that the WHO&#039;S five moments of hand hygiene was strictly followed. 17% of places did not use bacterial filters for mechanically ventilated patients and 53% used HME. 71% of responders were aware of the modified ACLS guidelines for COVID suspect patients. 55% of responders agreed that Remedisivir should be started only in moderate to severe cases. 55% of responders preferred Methylprednisolone to treat COVID sequelae. Knowledge: 10 questions The mean knowledge score of participants was 8.5 ?¨¤ 2.7 ranged from 7 to 10, with the mean correct answer rate of questions was 88.4%. Attitude 10 questions although the majority of our participants considered COVID-19 as a severe disease, they agreed that this disease can be prevented. The vast majority of doctors agreed that infection cont ol standard precaution can protect against COVID-19 (95.6%) after working in COVID ICU. Generally speaking, a positive attitude was more observed among males than females in many attitude items. Perception: 10 questions regarding risk perception, about 83.1% of our participants reported that they were afraid of being infected with COVID-19, and 89.2% stated that they were more susceptible to COVID-19 infection as compared to others. The most common statements accepted by participants as causes of perception of fear of COVID-19 infection were the following: fear of transmission of infection to their families (96.5%), the disease is highly transmissible (91.74%), COVID-I9 new disease with no available vaccine (58.6%) or treatment (77%), the fatality of the disease (62.1%). Discussions: In the current study, the knowledge level of postgraduates about COVID-19 was high. The mean correct answer rate was 8.5 ?¨¤ 2.7. This comes in accordance with studies conducted by Abdul, Zhang, and Ghiao, who had reported about 80 to 90% of their respondents had a sufficient level of knowledge. Although many articles were charting out the best practices, we could not find any systematic survey to check whether the practices were followed. WHO&#039;s 5 moments of hand hygiene, refrain from touching eyes, mouth, and nose, and putting surgical face mask were among the preventive measures frequently accepted by our participants. Ng et al. outlined that surgical masks are similarly as effective as N95 respirators if used with hand wash and other infection prevention precautions. Inconsistent with our findings, Kumar et al. and Olum et al. found HCWs&#039; knowledge regarding the role of face masks in the prevention of the disease to be moderate to poor. It worth mentioning that, and despite their high knowledge score, the vast majority of our respondents were afraid and felt more susceptible to have COVID-19 infection. This parallels studies that found an association between the level of fear and risk perception. Abdel in his Egyptian study reported that two-thirds of HCWs thought they were more susceptible to get infected, which resembles our study. Conclusion: At the time of writing this manuscript, the national statistics indicate that up to 30% of SARS COVID-19 patients needed ICU admission for ARDS. The majority of them needed different levels of oxygen support from simple masks to NIV to ventilator support. Probably, the timely availability of PPE, the strict infection control measures, and the frequent CME&#039;s and awareness sessions are responsible for making India one among the handful of countries with a very low mortality rate of 10%.","Yuvashree, M.; Gayathri, B.; Pushparani, Ksheerabdhi, S.",,EMBASE,,20210427,https://doi.org/10.5005/jp-journals-10071-23711.92,covidwho-1200258,,SUPPL 1,Indian Journal of Critical Care Medicine,en,,2021,"Indian Journal of Critical Care Medicine; 25(SUPPL 1):S50-S51, 2021.","Assessment of best practices, knowledge, attitude, and perception of postgraduates working in COVID ICU-a multicenter study from South India",article,,,25,online,1,0
"BACKGROUND: Public support of public health measures including physical distancing, masking, staying home while sick, avoiding crowded indoor spaces and contact tracing/exposure notification applications remains critical for reducing spread of COVID-19. The aim of our work was to understand current behaviours and attitudes towards public health measures as well as barriers individuals face in following public health measures. We also sought to identify attitudes persons have regarding a COVID-19 vaccine and reasons why they may not accept a vaccine. METHODS: A cross-sectional online survey was conducted in August 2020, in Alberta, Canada in persons 18 years and older. This survey evaluated current behaviours, barriers and attitudes towards public health measures and a COVID-19 vaccine. Cluster analysis was used to identify key patterns that summarize data variations among observations. RESULTS: Of the 60 total respondents, the majority of persons were always or often physically distancing (73%), masking (65%) and staying home while sick (67%). Bars/pubs/lounges or nightclubs were visited rarely or never by 63% of respondents. Persons identified staying home while sick to provide the highest benefit (83%) in reducing spread of COVID-19. There were a large proportion of persons who had not downloaded or used a contact tracing/exposure notification app (77%) and who would not receive a COVID-19 vaccine when available (20%) or were unsure (12%). Reporting health authorities as most trusted sources of health information was associated with greater percentage of potential uptake of vaccine but not related to contact tracing app download and use. Individuals with lower concern of getting and spreading COVID-19 showed the least uptake of public health measures except for avoiding public places such as bars. Lower concern regarding COVID-19 was also associated with more negative responses to taking a potential COVID-19 vaccine. CONCLUSION: These results suggest informational frames and themes focusing on individual risks, highlighting concern for COVID-19 and targeting improving trust for health authorities may be most effective in increasing public health measures. With the ultimate goal of preventing spread of COVID-19, understanding persons&#039; attitudes towards both public health measures and a COVID-19 vaccine remains critical to addressing barriers and implementing targeted interventions and messaging to improve uptake.","Lang, Raynell; Benham, Jamie L; Atabati, Omid; Hollis, Aidan; Tombe, Trevor; Shaffer, Blake; Burns, Katharina Kovacs; MacKean, Gail; L¡§|veill¡§|, Tova; McCormack, Brandi; Sheikh, Hasan; Fullerton, Madison M; Tang, Theresa; Boucher, Jean-Christophe; Constantinescu, Cora; Mourali, Mehdi; Manns, Braden J; Marshall, Deborah A; Hu, Jia; Oxoby, Robert J",,MEDLINE,"COVID-19/prevention &amp;amp; control; Communicable Disease Control; Health Knowledge, Attitudes, Practice; Adolescent; Adult; Alberta; COVID-19 Vaccines; Communication; Contact Tracing; Cross-Sectional Studies; Female; Humans; Male; Middle Aged; Surveys and Questionnaires; Vaccination/psychology; Young Adult",20210426,https://dx.doi.org/10.1186/s12889-021-10790-0,covidwho-1197345,1471-2458,1,BMC Public Health,en,GB,2021,"BMC Public Health;21(1): 765, 2021 04 21. ","Attitudes, behaviours and barriers to public health measures for COVID-19: a survey to inform public health messaging.",article,,,21,online,1,0
"BACKGROUND AND AIMS: There seems to be hesitation in the general population in accepting COVID 19 vaccine because of associated myths and/or misinformation. This study is dedicated to develop and validate a tool to interpret vaccine acceptance and/or hesitancy by assessing the knowledge, attitude, practices, and concerns regarding the COVID vaccine. MATERIAL AND METHODS: Mixed methods study design was used. In phase 1, the questionnaire was developed through literature review, focus group discussion, expert evaluation, and pre-testing. In phase 2, the validity of the questionnaire was obtained by conducting a cross-sectional survey on 201 participants. The construct validity was established via principal component analysis. Cronbach&#039;s alpha value was used to assess the reliability of the questionnaire. RESULTS: The 39-item questionnaire to assess the knowledge, attitude, practices, and concerns regarding the COVID-19 vaccine was developed. The Cronbach&#039;s alpha value of the questionnaire was 0.86 suggesting a good internal consistency. CONCLUSION: The developed tool is valid to assess the knowledge, attitude, practices and concerns regarding the COVID-19 vaccine acceptance and/or hesitancy. It has the potential utility for healthcare workers and government authorities to further build vaccine literacy.","Kumari, Archana; Ranjan, Piyush; Chopra, Sakshi; Kaur, Divjyot; Upadhyay, Ashish Datt; Kaur, Tanveer; Bhattacharyya, Arunangshu; Arora, Mehak; Gupta, Hardik; Thrinath, Arnav; Prakash, Bindu; Vikram, Naval K",,MEDLINE,"COVID-19 Vaccines/therapeutic use; COVID-19/prevention &amp;amp; control; Health Knowledge, Attitudes, Practice; Surveys and Questionnaires; Vaccination; COVID-19/epidemiology; COVID-19/psychology; Cross-Sectional Studies; Health Literacy/organization &amp;amp; administration; Health Literacy/standards; Health Literacy/statistics &amp;amp; numerical data; Humans; Pandemics; Patient Acceptance of Health Care/psychology; Patient Acceptance of Health Care/statistics &amp;amp; numerical data; Perception; Psychometrics/methods; Reproducibility of Results; SARS-CoV-2/immunology; Surveys and Questionnaires/standards; Vaccination/psychology; Vaccination/statistics &amp;amp; numerical data",20210422,https://dx.doi.org/10.1016/j.dsx.2021.04.004,covidwho-1193288,1878-0334,3,Diabetes Metab Syndr,en,NL,2021,"Diabetes Metab Syndr;15(3): 919-925, 2021. ","Development and validation of a questionnaire to assess knowledge, attitude, practices, and concerns regarding COVID-19 vaccination among the general population.",article,,,15,online,1,0
"Background: Malaysia is no exception to the COVID-19 pandemic, and to date, there is no specific treatment to cure the dis-ease, and the vaccine is still not available. Hence, to stress the importance of practising protective measures. Objective: This study intended to examine the knowledge, attitude, and practice towards COVID-19 and its preventive measures among Malaysian amid the CMCO (Conditional Movement Control Order) during the COVID-19 pandemic in Malaysia. Methods: This cross-sectional study was conducted online among Malaysians aged 18 years old and above from May to June 2020 using a self-developed questionnaire through snowball sampling. Results: A total of 571 respondents were analyzed. The average age was 26 years old, and monthly income was RM1500, about half were females (57.8%), had education level to undergraduate (58.1%), one-third were Indians (34.7%), one-fifth were Malays (23.6%), one-third from Sarawak (31.2%), and one-fifth from Selangor (25.0 %). The correct rate for all three outcome domains was high, 83% for knowledge, 85% for attitude, and 86% for practice. Few respondents still holding the myths regard-ing COVID-19. No significant factors contributed to the knowledge score. Factors that contributed to higher attitude scores were monthly income and employment status. Factors that contributed to higher practice scores were female, Chinese, and medical employees. The higher the knowledge score, the higher the attitude score and practice score. Conclusions: Malaysians discerned and optimistic about COVID-19, its preventive measures, and the implementation of MCO. They had confidence with the government in combating COVID-19 and were practising preventive measures. ? IJCRR.","Elias, R.; Vigayan, G. A. P.; Mohana Kumar, H. V. A. P.; Sevanesan, M. S. A. P.; Rajan, R. A. P.; Gurumoorthy, S. A. P.",,Scopus,,20210419,https://doi.org/10.31782/IJCRR.2021.SP125,covidwho-1187254,,4 special Issue,International Journal of Current Research and Review,en,,2021,"International Journal of Current Research and Review; 13(4 special Issue):69-81, 2021.","COVID-19: Knowledge, attitude, practice in Malaysia",article,,,13,online,1,0
"The recent outbreak of coronavirus disease (COVID-19) is the worst global crisis. Since no successful treatment and vaccine have been reported, efforts to improve the public&#039;s knowledge, attitudes, and practices are critical to reducing the spread of COVID-19. This study aims to investigate the general public knowledge, attitude, and practices regarding COVID-19. A cross-sectional online survey was conducted in three developing countries (China, India, and Pakistan). The reason for choosing only three countries is to identify the cross-border effect statistically and data collection constraints. The IBM SPSS version 23.0 was used for descriptive, univariate, and multivariate analysis of the study. One thousand one hundred and sixty participants completed the study, one-quarter of them were female, and three-quarters were male. The study&#039;s findings evidenced that the knowledge and attitude correlation was 58.4% and between knowledge and practices 18.2%. Furthermore, the knowledge was found lower in females, among India and Pakistan, and people aged less and equivalent to 30 years. The attitudes among respondents were found poorer among unmarried females and India and Pakistan residents. While the practices found lower among employed, unemployed and, respondents had a bachelor&#039;s degree, and females reside in India. And future studies should focus on factors that influence the government regarding the imposition of lockdown, boost the economy in the pandemic, and motivate the general public to follow the health institution&#039;s instructions.","Qalati, Sikandar Ali; Ostic, Dragana; Fan, Mingyue; Dakhan, Sarfaraz Ahmed; Vela, Esthela Galvan; Zufar, Zuhaib; Sohu, Jan Muhammmad; Mei, Jinlan; Thuy, Troung Thi Hong",,MEDLINE,,20210413,https://dx.doi.org/10.1177/0272684X211004945,covidwho-1175233,1541-3519,,Int Q Community Health Educ,en,US,2021,"Int Q Community Health Educ;: 272684X211004945, 2021 Apr 08. ","The General Public Knowledge, Attitude, and Practices Regarding COVID-19 During the Lockdown in Asian Developing Countries.",article,,,,online,1,0
"While the problem of vaccine hesitancy is not new, it has become more pronounced with the new COVID-19 vaccines and represents an obstacle to resolving the crisis. Even people who would usually trust vaccines and experts now prefer to wait for more information. A cross-sectional online survey was conducted in Slovenia in December 2020 to find out the attitudes of the population regarding COVID-19 vaccination and the factors that affect these attitudes. Based on 12,042 fully completed questionnaires, we find that higher intention to get vaccinated is associated with men, older respondents, physicians and medical students, respondents who got the influenza vaccination, those who knew someone who had gotten hospitalised or died from COVID-19 and those who have more trust in experts, institutions and vaccines. Nurses and technicians were less likely to get vaccinated. In answers to an open question, sceptics were split into those doubting the quality due to the rapid development of the vaccine and those that reported personal experiences with side effects of prior vaccinations. Although the Slovenian population is diverse in its attitudes towards vaccination, the results are comparable to those found in other countries. However, there are potential limitations to the generalizability of the findings that should be addressed in future studies.","Petravic, Luka; Arh, Rok; Gabrovec, Tina; Jazbec, Lucija; Rupcic, Nika; Staresinic, Nina; Zorman, Lea; Pretnar, Ajda; Srakar, Andrej; Zwitter, Matjaz; Slavec, Ana",,MEDLINE,,20210407,https://dx.doi.org/10.3390/vaccines9030247,covidwho-1167769,2076-393X,3,,en,CH,2021,Vaccines (Basel);9(3)2021 Mar 12. ,Factors Affecting Attitudes towards COVID-19 Vaccination: An Online Survey in Slovenia.,article,,,9,online,1,0
"Aim: The objective of this study was to explore the public knowledge and attitudes towards COVID-19 Vaccination in Saudi Arabia. Methodology: This was an online, questionnaire-based cross-sectional study included a questionnaire that was prepared using an online questionnaire. The questionnaire was disseminated by social media platforms to be filled by the public in January 2021. Results: Most of the respondents were females (78.00%) and the age of the majority of them was less than 25 years old. Most of the respondents were aware of COVID-19 symptoms (94%), Aware of COVID-19 severity (91%), Aware of COVID-19 risk and negative outcomes (70%) and aware of vaccination necessity (68%). Only 37 % of them agreed that COVID-19 vaccination is effective and only 32% of them agreed that the vaccine is safe. Conclusion: The study showed that there was a good acceptability of the public of COVID-19 vaccination but the respondents are worried about the efficacy and safety of COVID-19 vaccines. Efforts to address these concerns and to improve vaccine usage are required. Additionally, targeted educational interventions are needed to increase COVID-19 vaccine uptake of the future.","Ahmed, N. J.; Alkhawaja, F. Z.; Alrawili, A. S.; Almalki, Z. S.",,Web of Science,,20210401,,covidwho-1156248,,108,Medical Science,en,,2021,"Medical Science; 25(108):279-284, 2021.",Public knowledge and attitudes toward COVID-19 Vaccination: A cross-sectional study,article,,,25,online,1,0
"Background: During the long wait and the global anxiety for a vaccine against COVID-19, impressively high-safety and effective vaccines were invented by multiple pharmaceutical companies. Aim: We aimed to assess the attitudes of healthcare providers and evaluate their intention to advocate for the vaccine. Methods: This was a cross-sectional study conducted in a tertiary private hospital where an electronic survey was distributed among healthcare providers (HCPs). The survey contained two sections: socio-demographic characteristics and Likert-scale perception, with 72% internal consistency. Results: The response rate to the email survey was 37% (n = 236). In addition, 169 (71.6%) of respondents were women, with more than half (134, 56.8%) aged ?¨¹35 years. A total of 110 (46.6%) had over 10 years of experience, and most of them were nurses (146, 62%). Univariate analysis revealed that older participants significantly accepted and advocated for the new vaccine more than the younger ones. In the multivariate analysis, men were significantly more likely than women to accept and advocate for the new vaccine, as were those with chronic illnesses. Participants with allergy were significantly less likely to accept the vaccine than others. odds ratio (OR) and p-values were 2.5, 0.003;2.3, 0.04;and 0.4, 0.01, respectively. Conclusion: The acceptance rate for the newly-developed COVID-19 vaccines was average among HCPs. Sex, age, presence of chronic illnesses, and allergy were significant predictors of accepting the vaccine.","Ahmed, Gasmelseed, Almoosa, Zainab, Mohamed, Dalia, Rapal, Janepple, Minguez, Ofelia, Abu Khurma, Issam, Alnems, Ayman, Al Mutair, Abbas",,MDPI,,20210330,https://doi.org/10.3390/nursrep11010018,covidwho-1154464,,1,Nursing Reports,en,,2021,"Nursing Reports; 11(1):187-194, 2021.",Healthcare Provider Attitudes toward the Newly Developed COVID-19 Vaccine: Cross-Sectional Study,article,,,11,online,1,0
"OBJECTIVE: The adherence to public health recommendations to control COVID-19 spread is influenced by public knowledge, attitudes and practices (KAP). We performed this cross-sectional study to assess the levels and determinants of public KAP towards COVID-19 in a large, multinational sample. DESIGN: Cross-sectional study (survey). SETTING: The questionnaire was distributed to potential respondents via online platforms. PARTICIPANTS: 71 890 individuals from 22 countries. METHODS: We formulated a four-section questionnaire in English, followed by validation and translation into seven languages. The questionnaire was distributed (May to June 2020) and each participant received a score for each KAP section. RESULTS: Overall, the participants had fair knowledge (mean score: 19.24?¨¤3.59) and attitudes (3.72?¨¤2.31) and good practices (12.12?¨¤1.83) regarding COVID-19. About 92% reported moderate to high compliance with national lockdown. However, significant gaps were observed: only 68.2% knew that infected individuals may be asymptomatic; 45.4% believed that antibiotics are an effective treatment; and 55.4% stated that a vaccine has been developed (at the time of data collection). 71.9% believed or were uncertain that COVID-19 is a global conspiracy; 36.8% and 51% were afraid of contacting doctors and Chinese people, respectively. Further, 66.4% reported the pandemic had moderate to high negative effects on their mental health. Female gender, higher education and urban residents had significantly (p&amp;#8804;0.001) higher knowledge and practice scores. Further, we observed significant correlations between all KAP scores. CONCLUSIONS: Although the public have fair/good knowledge and practices regarding COVID-19, significant gaps should be addressed. Future awareness efforts should target less advantaged groups and future studies should develop new strategies to tackle COVID-19 negative mental health effects.","Masoud, Ahmed Taher; Zaazouee, Mohamed Sayed; Elsayed, Sarah Makram; Ragab, Khaled Mohamed; Kamal, Esraa M; Alnasser, Yusra T; Assar, Ahmed; Nourelden, Anas Z; Istatiah, Loai J; Abd-Elgawad, Mohamed M; Abdelsattar, Ahmed T; Sofy, Ahmed A; Hegazy, Doaa G; Fem¡§aa, Victor Z; Mendon?a, Adriana R; Sayed, Fatma M; Elmoursi, Ahmed; Alareidi, Alaa; Abd-Eltawab, Ahmed K; Abdelmonem, Mohamed; Mohammed, Omar M; Derballa, EzzEldeen A; El-Fas, Kareem A; Abdel-Daim, Mohamed M; Abushouk, Abdelrahman I",,MEDLINE,"COVID-19; Adult; Communicable Disease Control; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Male; Middle Aged; SARS-CoV-2; Surveys and Questionnaires",20210329,https://dx.doi.org/10.1136/bmjopen-2020-043971,covidwho-1150232,2044-6055,2,BMJ Open,en,GB,2021,"BMJ Open;11(2): e043971, 2021 02 23. ","KAP-COVID&lt;sub&gt;GLOBAL&lt;/sub&gt;: a multinational survey of the levels and determinants of public knowledge, attitudes and practices towards COVID-19.",article,,,11,online,1,0
"BACKGROUND: Vaccines for COVID-19 are currently available for the public in Israel. The compliance with vaccination has differed between sectors in Israel and the uptake has been substantially lower in the Arab compared with the Jewish population. AIM: To assess ethnic and socio-demographic factors in Israel associated with attitudes towards COVID-19 vaccines prior to their introduction. METHODS: A national cross-sectional survey was carried out In Israel during October 2020 using an internet panel of around 100,000 people, supplemented by snowball sampling. A sample of 957 adults aged 30 and over were recruited of whom 606 were Jews (49% males) and 351 were Arabs (38% males). RESULTS: The sample of Arabs was younger than for the Jewish respondents. Among the men, 27.3% of the Jewish and 23.1% of the Arab respondents wanted to be vaccinated immediately, compared with only 13.6% of Jewish women and 12.0% of Arab women. An affirmative answer to the question as to whether they would refuse the vaccine at any stage was given by 7.7% of Jewish men and 29.9% of Arab men, and 17.2% of Jewish women and 41.0% of Arab women. Higher education was associated with less vaccine hesitancy. In multiple logistic regression analysis, the ethnic and gender differences persisted after controlling for age and education. Other factors associated with vaccine hesitancy were the belief that the government restrictions were too lenient and the frequency of socializing prior to the pandemic. CONCLUSIONS: The study revealed a relatively high percentage reported would be reluctant to get vaccinated, prior to the introduction of the vaccine. This was more marked so for Arabs then Jews, and more so for women within the ethnic groups. While this was not a true random sample, the findings are consistent with the large ethnic differences in compliance with the vaccine, currently encountered and reinforce the policy implications for developing effective communication to increase vaccine adherence. Government policies directed at controlling the pandemic should include sector-specific information campaigns, which are tailored to ensure community engagement, using targeted messages to the suspected vaccine hesitant groups. Government ministries, health service providers and local authorities should join hands with civil society organizations to promote vaccine promotion campaigns.","Green, Manfred S; Abdullah, Rania; Vered, Shiraz; Nitzan, Dorit",,MEDLINE,"Arabs/psychology; COVID-19 Vaccines/administration &amp;amp; dosage; COVID-19/prevention &amp;amp; control; Jews/psychology; Adult; Age Factors; Aged; Aged, 80 and over; Attitude to Health; Cross-Sectional Studies; Female; Humans; Israel/epidemiology; Male; Middle Aged; SARS-CoV-2; Sex Factors; Socioeconomic Factors",20210323,https://dx.doi.org/10.1186/s13584-021-00458-w,covidwho-1143260,2045-4015,1,Isr J Health Policy Res,en,GB,2021,"Isr J Health Policy Res;10(1): 26, 2021 03 19. ","A study of ethnic, gender and educational differences in attitudes toward COVID-19 vaccines in Israel - implications for vaccination implementation policies.",article,,,10,online,1,0
"Vaccines constitute highly effective tools for controlling and eliminating vaccine-preventable diseases (VPDs) and are assessed to avert between two to three million deaths per year globally. Healthcare personnel (HCP) constitute a priority group for several vaccinations. However, studies indicate significant rates of vaccine hesitancy among them and, therefore, of acceptance of vaccination recommendations. This cross-sectional study was conducted in a university hospital in Southern Italy to assess the knowledge and attitudes of HCP about VPDs before and during the COVID-19 pandemic, estimate their intention to get vaccinated against COVID-19, and search for determinants that may influence their choice. A self-administered questionnaire was used. HCP improved their knowledge about VPDs and were more favorable to vaccinations in September-December 2020 compared to January-December 2019. Overall, 75% of respondents would get a COVID-19 vaccine. Our findings indicate a potential role of the ongoing COVID-19 pandemic on Italian HCP&#039;s knowledge and attitudes towards vaccines.","Ledda, Caterina; Costantino, Claudio; Cuccia, Mario; Maltezou, Helena C; Rapisarda, Venerando",,MEDLINE,"COVID-19; Pandemics; COVID-19 Vaccines; Cross-Sectional Studies; Health Knowledge, Attitudes, Practice; Humans; Italy/epidemiology; Pandemics/prevention &amp;amp; control; SARS-CoV-2; Surveys and Questionnaires; Vaccination",20210317,https://dx.doi.org/10.3390/ijerph18052703,covidwho-1134148,1660-4601,5,Int. j. environ. res. public health (Online),en,CH,2021,Int J Environ Res Public Health;18(5)2021 03 08. ,Attitudes of Healthcare Personnel towards Vaccinations before and during the COVID-19 Pandemic.,article,,,18,offline,1,0
"INTRODUCTION: In the context of a highly contagious virus with only recently approved vaccines and no cure, the key to slowing the spread of the COVID-19 disease and successfully transitioning through the phases of the pandemic, including vaccine uptake, is public adherence to rapidly evolving behaviour-based public health policies. The overall objective of the iCARE Study is to assess public awareness, attitudes, concerns and behavioural responses to COVID-19 public health policies, and their impacts, on people around the world and to link behavioural survey data with policy, mobility and case data to provide behavioural science, data-driven recommendations to governments on how to optimise current policy strategies to reduce the impact of the COVID-19 pandemic. METHODS AND ANALYSES: The iCARE study (www.icarestudy.com) uses a multiple cross-sectional survey design to capture self-reported information on a variety of COVID-19 related variables from individuals around the globe. Survey data are captured using two data capture methods: convenience and representative sampling. These data are then linked to open access data for policies, cases and population movement. ETHICS AND DISSEMINATION: The primary ethical approval was obtained from the coordinating site, the Centre int¡§|gr¡§| universitaire de sant¡§| et de services sociaux du Nord-de-l&#039;?le-de-Montr¡§|al (REB#: 2020-2099/03-25-2020). This study will provide high-quality, accelerated and real-time evidence to help us understand the effectiveness of evolving country-level policies and communication strategies to reduce the spread of the COVID-19. Due to the urgency of the pandemic, results will be disseminated in a variety of ways, including policy briefs, social media posts, press releases and through regular scientific methods.","Bacon, Simon L; Lavoie, Kim L; Boyle, Jacqueline; Stojanovic, Jovana; Joyal-Desmarais, Keven",,MEDLINE,Attitude; COVID-19/psychology; Health Policy; Quality of Life; Cross-Sectional Studies; Humans; Pandemics; Public Health; Surveys and Questionnaires,20210317,https://dx.doi.org/10.1136/bmjopen-2020-046127,covidwho-1133215,2044-6055,3,BMJ Open,en,GB,2021,"BMJ Open;11(3): e046127, 2021 03 11. ","International assessment of the link between COVID-19 related attitudes, concerns and behaviours in relation to public health policies: optimising policy strategies to improve health, economic and quality of life outcomes (the iCARE Study).",article,,,11,data mining,1,0
"Healthcare workers are particularly exposed to biological risk during their daily occupational activities. Nowadays, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has become one of the most widespread infectious agents. In the current study, we performed a survey on the attitude and behavior of Polish healthcare workers (HCW), which comprise physicians (MD) and administrative healthcare assistants (HA) towards the Coronavirus Disease 2019 (COVID-19) vaccination. Our study involved 2300 subjects (42.17% female; 10.96% MD; 5.87% HA). The evaluation was conducted using a Google Forms survey based on original questions and the Depression, Anxiety and Stress Scale-21 Items questionnaire. HCW significantly more often demonstrated their willingness to get vaccinated against the SARS-CoV-2 as compared to the control group (82.95% vs. 54.31%, respectively). The main concern, as regards all groups, was the development of long-term side effects after getting COVID-19 vaccine. The study revealed that depression significantly affects the willingness to get vaccinated. The readiness was significantly strengthened by positive medical history of recommended vaccinations, fear of catching COVID-19, as well as fear of passing on the disease to the relatives. Overall, the percentage of HCW, who want to be vaccinated against COVID-19 remains unsatisfactory. Further works exploring this subject are needed to take a step closer to achieving the herd immunity in the era of the COVID-19 pandemic.","Szmyd, Bartosz; Karuga, Filip Franciszek; Bartoszek, Adrian; Staniecka, Katarzyna; Siwecka, Natalia; Bartoszek, Agnieszka; Blaszczyk, Maciej; Radek, Maciej",,MEDLINE,,20210316,https://dx.doi.org/10.3390/vaccines9030218,covidwho-1129792,2076-393X,3,,en,CH,2021,Vaccines (Basel);9(3)2021 Mar 04. ,Attitude and Behaviors towards SARS-CoV-2 Vaccination among Healthcare Workers: A Cross-Sectional Study from Poland.,article,,,9,online,1,0
